РОДИТЕЛЬСКАЯ_ДИРЕКТОРИЯ	ТИП_ОБЪЕКТА	ИМЯ_ОБЪЕКТА	РАЗМЕР_В_БАЙТАХ
D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	9lhzg4jfl.wav	1831
D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	da1o83.wav	286
D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	sx4uyrnouv8kg9o.mp3	2981
D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	v2lp533ci3o7.aac	331
D:\Python_GB\HomeWork\Lesson_07\many_files\Music	файл	w7cvcy.wav	2947
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	28pq3_c305rp_ecc1of8l.jpg	513
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	6hy6ibbz2bt1s.png	4069
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	6rhs77v8p5dm_kri.gif	1713
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	9d0qdcfxomfbbktn_350e35zuq.jpg	2492
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	b1t6ocqkzqt7_pw8.bmp	1820
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	f3co98t44jk97cmcqmat.png	2745
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	fdacrs0e615x95gh897e.png	2742
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	g6h1kzhrc8q2c5w3g.bmp	3027
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	ihqxb98v909dzh5tm.jpg	1269
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	kz_asap3zx794d.jpg	1051
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	mpvte5dpvg.gif	1553
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	m_8qbe8vy909c6.bmp	662
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	ot_95h3_zx8_yb_mai1efyfra.bmp	2527
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	slxy1ig5xkysvz5j662weqxek0tdca.bmp	3584
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	squgyshugwqi_tf182akl2sml.jpg	1632
D:\Python_GB\HomeWork\Lesson_07\many_files\Pictures	файл	zb3da16n7mf2n8h4.bmp	3309
D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	4mflm_4hwmfpcytw14_8wubs8cd.doc	3636
D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	5d762b3m4p4.txt	1506
D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	66wwd1rhas2_d3m6.doc	881
D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	7g67u3htwilbjpbwg7buec.txt	458
D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	8frr3nhk7y5oqxpdg464pd3a.docx	3505
D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	f9d8bxut6j.txt	1358
D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	fuejjir_0o0lq4xzq65nu.docx	2409
D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	jveqixnvi7uw.doc	3802
D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	y_281m7d.doc	4052
D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	4q1citq9ie8znt5.mov	444
D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	4rjk7hj4p6qt9dqrinue.mp4	1313
D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	4u8q39hbhmw0dxxtzghy1mi50m.mp4	2828
D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	7ms7pqi_63iynwwu11wt6c.mov	2251
D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	ebzeo61_xwe5up.avi	330
D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	eek077p_.mov	3579
D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	gzbvmu.avi	3231
