ОБЪЕКТ_НОМЕР_	РОДИТЕЛЬСКАЯ_ДИРЕКТОРИЯ	ТИП_ОБЪЕКТА	ИМЯ_ОБЪЕКТА	РАЗМЕР_В_БАЙТАХ
ОБЪЕКТ_НОМЕР_ 50	D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	4mflm_4hwmfpcytw14_8wubs8cd.doc	3636
ОБЪЕКТ_НОМЕР_ 51	D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	5d762b3m4p4.txt	1506
ОБЪЕКТ_НОМЕР_ 52	D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	66wwd1rhas2_d3m6.doc	881
ОБЪЕКТ_НОМЕР_ 53	D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	7g67u3htwilbjpbwg7buec.txt	458
ОБЪЕКТ_НОМЕР_ 54	D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	8frr3nhk7y5oqxpdg464pd3a.docx	3505
ОБЪЕКТ_НОМЕР_ 55	D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	f9d8bxut6j.txt	1358
ОБЪЕКТ_НОМЕР_ 56	D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	fuejjir_0o0lq4xzq65nu.docx	2409
ОБЪЕКТ_НОМЕР_ 57	D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	jveqixnvi7uw.doc	3802
ОБЪЕКТ_НОМЕР_ 58	D:\Python_GB\HomeWork\Lesson_07\many_files\Text	файл	y_281m7d.doc	4052
ОБЪЕКТ_НОМЕР_ 59	D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	4q1citq9ie8znt5.mov	444
ОБЪЕКТ_НОМЕР_ 60	D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	4rjk7hj4p6qt9dqrinue.mp4	1313
ОБЪЕКТ_НОМЕР_ 61	D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	4u8q39hbhmw0dxxtzghy1mi50m.mp4	2828
ОБЪЕКТ_НОМЕР_ 62	D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	7ms7pqi_63iynwwu11wt6c.mov	2251
ОБЪЕКТ_НОМЕР_ 63	D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	ebzeo61_xwe5up.avi	330
ОБЪЕКТ_НОМЕР_ 64	D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	eek077p_.mov	3579
ОБЪЕКТ_НОМЕР_ 65	D:\Python_GB\HomeWork\Lesson_07\many_files\Video	файл	gzbvmu.avi	3231
